Time,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[1].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[100].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[200].T,thermocline_Insulation.simpleWall[1].material.T,thermocline_Insulation.simpleWall[100].material.T,thermocline_Insulation.simpleWall[200].material.T
0,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438
1.4821572449363885e-06,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438
1.4821572449363885e-06,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438,493.14999389648438
10,493.14987182617188,493.14987182617188,493.14987182617188,493.13531494140625,493.13531494140625,493.13531494140625
20,493.1494140625,493.1494140625,493.1494140625,493.12368774414063,493.12368774414063,493.12368774414063
20,493.1494140625,493.1494140625,493.1494140625,493.12368774414063,493.12368774414063,493.12368774414063
30,493.148681640625,493.148681640625,493.148681640625,493.11441040039063,493.11441040039063,493.11441040039063
40,493.147705078125,493.147705078125,493.147705078125,493.10690307617188,493.10690307617188,493.10690307617188
50,493.1466064453125,493.1466064453125,493.1466064453125,493.10079956054688,493.10079956054688,493.10079956054688
60,493.14535522460938,493.14535522460938,493.14535522460938,493.09573364257813,493.09573364257813,493.09573364257813
70,493.14401245117188,493.14401245117188,493.14401245117188,493.09146118164063,493.09146118164063,493.09146118164063
80,493.142578125,493.142578125,493.142578125,493.08782958984375,493.08782958984375,493.08782958984375
90,493.14111328125,493.14111328125,493.14111328125,493.08462524414063,493.08462524414063,493.08462524414063
100,493.13958740234375,493.13958740234375,493.13958740234375,493.08181762695313,493.08181762695313,493.08181762695313
110,493.13803100585938,493.13803100585938,493.13803100585938,493.07928466796875,493.07928466796875,493.07928466796875
120,493.136474609375,493.136474609375,493.136474609375,493.07693481445313,493.07693481445313,493.07693481445313
130,493.13485717773438,493.13485717773438,493.13485717773438,493.07476806640625,493.07476806640625,493.07476806640625
140,493.13327026367188,493.13327026367188,493.13327026367188,493.07272338867188,493.07272338867188,493.07272338867188
150,493.13162231445313,493.13162231445313,493.13162231445313,493.07077026367188,493.07077026367188,493.07077026367188
160,493.1300048828125,493.1300048828125,493.1300048828125,493.06887817382813,493.06887817382813,493.06887817382813
170,493.12838745117188,493.12838745117188,493.12838745117188,493.06704711914063,493.06704711914063,493.06704711914063
180,493.12673950195313,493.12673950195313,493.12673950195313,493.06524658203125,493.06524658203125,493.06524658203125
190,493.12509155273438,493.12509155273438,493.12509155273438,493.06350708007813,493.06350708007813,493.06350708007813
200,493.12344360351563,493.12344360351563,493.12344360351563,493.06179809570313,493.06179809570313,493.06179809570313
210,493.12179565429688,493.12179565429688,493.12179565429688,493.06008911132813,493.06008911132813,493.06008911132813
220,493.12014770507813,493.12014770507813,493.12014770507813,493.05838012695313,493.05838012695313,493.05838012695313
230,493.11849975585938,493.11849975585938,493.11849975585938,493.05670166015625,493.05670166015625,493.05670166015625
240,493.11685180664063,493.11685180664063,493.11685180664063,493.05502319335938,493.05502319335938,493.05502319335938
250,493.11517333984375,493.11517333984375,493.11517333984375,493.0533447265625,493.0533447265625,493.0533447265625
260,493.113525390625,493.113525390625,493.113525390625,493.05166625976563,493.05166625976563,493.05166625976563
270,493.11187744140625,493.11187744140625,493.11187744140625,493.05001831054688,493.05001831054688,493.05001831054688
280,493.1102294921875,493.1102294921875,493.1102294921875,493.04833984375,493.04833984375,493.04833984375
290,493.10858154296875,493.10858154296875,493.10858154296875,493.04669189453125,493.04669189453125,493.04669189453125
300,493.10693359375,493.10693359375,493.10693359375,493.0450439453125,493.0450439453125,493.0450439453125
310,493.10525512695313,493.10525512695313,493.10525512695313,493.04339599609375,493.04339599609375,493.04339599609375
320,493.10360717773438,493.10360717773438,493.10360717773438,493.041748046875,493.041748046875,493.041748046875
330,493.10195922851563,493.10195922851563,493.10195922851563,493.04010009765625,493.04010009765625,493.04010009765625
340,493.10031127929688,493.10031127929688,493.10031127929688,493.0384521484375,493.0384521484375,493.0384521484375
350,493.09866333007813,493.09866333007813,493.09866333007813,493.03680419921875,493.03680419921875,493.03680419921875
360,493.09698486328125,493.09698486328125,493.09698486328125,493.03515625,493.03515625,493.03515625
